Dataset	TargetID	Code	EmpiricalFormula	ChargeState	Scan	ScanStart	ScanEnd	NumMSSummed	NET	NETError	NumChromPeaksWithinTol	NumQualityChromPeaksWithinTol	MonoisotopicMass	MonoisotopicMassCalibrated	MassErrorInPPM	MonoMZ	IntensityRep	FitScore	IScore	FailureType	ErrorDescription
Scott	607020701	6-7-2-7-1	C181H292N14O129	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4725.671851	0	5	2363.843202	5000	0.0901	0.6829	100	100
Scott	607020702	6-7-2-7-2	C181H290N14O128	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4707.661287	0	5	2354.83792	5000	0.0901	0.6829	100	100
Scott	607020703	6-7-2-7-3	C181H288N14O127	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4689.650723	0	5	2345.832638	5000	0.0901	0.6829	100	100
Scott	607020704	6-7-2-7-4	C181H286N14O126	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4671.640159	0	5	2336.827356	5000	0.0901	0.6829	100	100
Scott	607020705	6-7-2-7-5	C181H284N14O125	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4653.629595	0	5	2327.822074	5000	0.0901	0.6829	100	100
Scott	607020706	6-7-2-7-6	C181H282N14O124	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4635.619031	0	5	2318.816792	5000	0.0901	0.6829	100	100
Scott	607020800	6-7-2-8-0	C192H311N15O138	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5034.777827	0	5	2518.39619	5000	0.0901	0.6829	100	100
Scott	607020801	6-7-2-8-1	C192H309N15O137	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5016.767263	0	5	2509.390908	5000	0.0901	0.6829	100	100
Scott	607020802	6-7-2-8-2	C192H307N15O136	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4998.756699	0	5	2500.385626	5000	0.0901	0.6829	100	100
Scott	607020803	6-7-2-8-3	C192H305N15O135	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4980.746135	0	5	2491.380344	5000	0.0901	0.6829	100	100
Scott	607020804	6-7-2-8-4	C192H303N15O134	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4962.735571	0	5	2482.375062	5000	0.0901	0.6829	100	100
Scott	607020805	6-7-2-8-5	C192H301N15O133	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4944.725007	0	5	2473.36978	5000	0.0901	0.6829	100	100
Scott	607020806	6-7-2-8-6	C192H299N15O132	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4926.714443	0	5	2464.364498	5000	0.0901	0.6829	100	100
Scott	607020807	6-7-2-8-7	C192H297N15O131	2	1977	1422	1437	0	0.19107	-1.191074	9	3	4908.703879	0	5	2455.359216	5000	0.0901	0.6829	100	100
Scott	607020900	6-7-2-9-0	C203H328N16O146	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5325.873239	0	5	2663.943896	5000	0.0901	0.6829	100	100
Scott	607020901	6-7-2-9-1	C203H326N16O145	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5307.862675	0	5	2654.938614	5000	0.0901	0.6829	100	100
Scott	607020902	6-7-2-9-2	C203H324N16O144	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5289.85211	0	5	2645.933332	5000	0.0901	0.6829	100	100
Scott	607020903	6-7-2-9-3	C203H322N16O143	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5271.841546	0	5	2636.92805	5000	0.0901	0.6829	100	100
Scott	607020904	6-7-2-9-4	C203H320N16O142	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5253.830982	0	5	2627.922768	5000	0.0901	0.6829	100	100
Scott	607020905	6-7-2-9-5	C203H318N16O141	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5235.820418	0	5	2618.917486	5000	0.0901	0.6829	100	100
Scott	607020906	6-7-2-9-6	C203H316N16O140	2	1977	1422	1437	0	0.19107	-1.191074	9	3	5217.809854	0	5	2609.912204	5000	0.0901	0.6829	100	100
